id,location,meanEngProf,meanEngFreq,meanArbProf,meanArbFreq,engReadProf,engReadFreq,arbReadProf,arbReadFreq,hand,experimenter,age,sex,primaryLang,hand2,lang1,lang2,lang3,engComp,arabicComp,radius,angle,cols,col1,pch,engMinusArabic,group2
o52,online,4,4,3.66666667,3.5,4,4,4,3,4.5,,19,Female,,,,,,1,0.870833334,1.326028165,41.05043437,#DCC846,#DCC846,21,0.129166667,2. Bilingual
o53,online,3.33333333,3.5,4,3.75,4,3,4,4,4.25,,18,Female,,,,,,0.854166667,0.98125,1.300942834,48.96080972,#E69905,#E69905,21,-0.127083334,3. Arabic
o54,online,3.66666667,3.25,2,1.5,4,4,2,0,5,,18,Female,,,,,,0.927083334,0.3125,0.978335197,18.62786317,#54A5B9,#54A5B9,21,0.614583334,1. English
o55,online,4,4,2.66666667,2.25,4,4,3,2,4.75,,18,Female,,,,,,1,0.602083334,1.167263612,31.05144514,#9EBFA9,#9EBFA9,21,0.397916667,1. English
o56,online,4,4,2.66666667,2,4,4,3,2,5,,18,Male,,,,,,1,0.583333334,1.157703666,30.25643717,#9BBEAC,#9BBEAC,21,0.416666667,1. English
o57,online,3.66666667,4,3.66666667,3.75,4,4,4,4,4.75,,18,Male,,,,,,0.983333334,0.964583334,1.377448893,44.44850686,#E2B815,#E2B815,21,0.01875,2. Bilingual
o58,online,4,4,4,3,4,4,4,2,5,,18,Female,,,,,,1,0.775,1.265158093,37.77568431,#BEC87E,#BEC87E,21,0.225,2. Bilingual
o59,online,2.33333333,3.75,2.33333333,3,2,4,2,3,4.5,,18,Female,,,,,,0.797916667,0.666666667,1.039767018,39.87906487,#D0C961,#D0C961,21,0.13125,2. Bilingual
o60,online,3.33333333,2.75,2.66666667,1.75,4,3,4,2,5,,18,Male,,,,,,0.797916667,0.614583334,1.007166163,37.60472256,#BDC880,#BDC880,21,0.183333333,2. Bilingual
o61,online,2.66666667,2.5,4,4,3,3,4,4,4.5,,18,Male,,,,,,0.695833334,1,1.218270917,55.16851672,#EA8005,#EA8005,21,-0.304166667,3. Arabic
o62,online,3.33333333,3.5,4,4,4,4,4,4,4.75,,17,Female,,,,,,0.929166667,1,1.365046041,47.10278812,#E5A108,#E5A108,21,-0.070833334,3. Arabic
o63,online,4,3,4,3.5,4,3,4,3,3.5,,18,Female,,,,,,0.85,0.8875,1.228884148,46.2364076,#E4AB0B,#E4AB0B,21,-0.0375,2. Bilingual
o64,online,3,3,4,4,3,3,4,4,3.25,,18,Female,,,,,,0.75,1,1.25,53.13010235,#E88F05,#E88F05,21,-0.25,3. Arabic
o65,online,4,3.75,4,1.75,4,4,4,1,4,,18,Female,,,,,,0.98125,0.60625,1.153425604,31.70919859,#A1C0A6,#A1C0A6,21,0.375,1. English
o66,online,3.66666667,3.25,4,3.5,4,4,4,3,5,,18,Male,,,,,,0.927083334,0.8875,1.283409427,43.75034766,#E1BA1C,#E1BA1C,21,0.039583334,2. Bilingual
o67,online,3.33333333,3,3.66666667,3.25,4,4,4,3,4.75,,18,Female,,,,,,0.891666667,0.852083334,1.233335093,43.6996023,#E1BB1E,#E1BB1E,21,0.039583333,2. Bilingual
o68,online,4,4,3.66666667,3.5,4,4,4,3,4,,18,Female,,,,,,1,0.870833334,1.326028165,41.05043437,#DCC846,#DCC846,21,0.129166667,2. Bilingual
o69,online,3.33333333,3.25,2,1.5,4,4,2,1,3.75,,18,Female,,,,,,0.910416667,0.3875,0.989451745,23.05602459,#6CB0C0,#6CB0C0,21,0.522916667,1. English
o70,online,2,2.75,3,2.75,2,3,3,2,4.5,,18,Female,,,,,,0.63125,0.65625,0.910571592,46.11239962,#E4AC0C,#E4AC0C,21,-0.025,2. Bilingual
o71,online,4,4,3.33333333,2.5,4,4,3,1,4.75,,18,Female,,,,,,1,0.579166667,1.155609808,30.07799253,#99BDAD,#99BDAD,21,0.420833334,1. English
o72,online,4,3.75,2,1.75,4,4,3,2,5,,18,Female,,,,,,0.98125,0.53125,1.115830688,28.43117082,#8FB9B6,#8FB9B6,21,0.45,1. English
o73,online,4,4,0.66666667,0.75,4,4,1,0,4.25,,18,Female,,,,,,1,0.139583334,1.009694759,7.946194745,#409CB3,#409CB3,21,0.860416667,1. English
o74,online,3.33333333,2.75,1.66666667,1,4,4,2,0,5,,18,Female,,,,,,0.872916667,0.258333334,0.910340386,16.48573619,#4EA3B7,#4EA3B7,21,0.614583333,1. English
o76,online,4,4,3,1,4,4,3,1,5,,18,Female,,,,,,1,0.45,1.09658561,24.22774532,#75B3BE,#75B3BE,21,0.55,1. English
o77,online,4,4,3.33333333,3.5,4,4,3,3,5,,18,Female,,,,,,1,0.804166667,1.283231868,38.80508121,#CAC96B,#CAC96B,21,0.195833334,2. Bilingual
o78,online,3,3,2.66666667,2.75,3,3,2,2,5,,18,Male,,,,,,0.75,0.589583334,0.953996073,38.17128174,#C1C878,#C1C878,21,0.160416667,2. Bilingual
o79,online,3.33333333,4,2,2.25,3,4,2,2,4.5,,18,Female,,,,,,0.916666667,0.51875,1.053270782,29.50591599,#96BCB0,#96BCB0,21,0.397916667,1. English
o81,online,4,4,2.33333333,2.75,4,4,3,3,5,,18,Male,,,,,,1,0.697916667,1.219462043,34.91183021,#B3C58F,#B3C58F,21,0.302083334,2. Bilingual
o82,online,2.33333333,2.75,3.33333333,3,3,3,4,2,4.75,,18,Female,,,,,,0.697916667,0.741666667,1.018409111,46.74072525,#E4A70A,#E4A70A,21,-0.04375,3. Arabic
o83,online,4,3.5,2.666666667,2.75,4,4,2,2,4.25,,23,Female,,,,,,0.9625,0.589583333,1.128722622,31.48972391,#A0C0A7,#A0C0A7,21,0.372916667,1. English
o84,online,3.66666667,3.75,3,2.25,4,4,3,1,5,,22,Male,,,,,,0.964583334,0.54375,1.107287257,29.41060399,#96BCB1,#96BCB1,21,0.420833334,1. English
o85,online,4,3.75,2,2,4,4,2,2,4.5,,29,Male,,,,,,0.98125,0.5,1.101295402,27.00130503,#89B8B8,#89B8B8,21,0.48125,1. English
o86,online,4,3.5,4,3.75,4,4,4,4,5,,18,Male,,,,,,0.9625,0.98125,1.374502751,45.55267526,#E3B10D,#E3B10D,21,-0.01875,2. Bilingual
o87,online,3.33333333,3,3,2.75,4,4,2,2,5,,18,Female,,,,,,0.891666667,0.60625,1.07824325,34.21204036,#B1C591,#B1C591,21,0.285416667,2. Bilingual
o88,online,4,3.75,4,3,4,4,4,3,4.25,,18,Male,,,,,,0.98125,0.85,1.298210908,40.9004866,#D9CA51,#D9CA51,21,0.13125,2. Bilingual
o89,online,4,3.75,2.66666667,2.25,4,4,2,1,5,,18,Female,,,,,,0.98125,0.477083334,1.091082064,25.9290012,#82B6BA,#82B6BA,21,0.504166667,1. English
o90,online,3.66666667,4,2.33333333,1.5,4,4,2,1,5,,18,Female,,,,,,0.983333334,0.404166667,1.063153394,22.34349311,#66AEBE,#66AEBE,21,0.579166667,1. English
o91,online,3,3,4,4,3,3,4,4,5,,19,Female,,,,,,0.75,1,1.25,53.13010235,#E88F05,#E88F05,21,-0.25,3. Arabic
o92,online,3,3.5,2.33333333,2,3,4,2,2,4.75,,19,Female,,,,,,0.8625,0.516666667,1.005410709,30.92303458,#9DBFA9,#9DBFA9,21,0.345833334,1. English
o93,online,4,4,2.33333333,1.5,4,4,2,1,4.25,,18,Female,,,,,,1,0.404166667,1.078587361,22.00691713,#62ACBD,#62ACBD,21,0.595833334,1. English
o94,online,2.66666667,3,2,1.75,3,3,2,1,3.5,,19,Other,,,,,,0.733333334,0.40625,0.838341721,28.98545643,#93BBB3,#93BBB3,21,0.327083334,1. English
o95,online,3.33333333,4,4,4,4,4,4,4,5,,18,Female,,,,,,0.966666667,1,1.39084307,45.97102194,#E4AD0C,#E4AD0C,21,-0.033333333,2. Bilingual
o96,online,3.66666667,3.75,3.66666667,3.5,4,4,4,3,5,,21,Female,,,,,,0.964583334,0.870833334,1.299527492,42.075969,#DEC43B,#DEC43B,21,0.09375,2. Bilingual
o97,online,3.33333333,2,3.66666667,2.75,3,3,4,2,5,,19,Male,,,,,,0.691666667,0.739583334,1.012613591,46.91748315,#E5A409,#E5A409,21,-0.047916667,3. Arabic
o98,online,4,4,0.66666667,0,4,4,1,0,5,,37,Female,,,,,,1,0.083333334,1.003466215,4.7636417,#3C9AB2,#3C9AB2,21,0.916666667,1. English
o99,online,3.33333333,3.75,3,1,4,4,4,0,3.75,,19,Female,,,,,,0.947916667,0.425,1.038831558,24.14915752,#73B3BF,#73B3BF,21,0.522916667,1. English
o100,online,3.33333333,3.25,4,4,4,4,4,4,4.75,,18,Female,,,,,,0.910416667,1,1.352352952,47.6847493,#E69F07,#E69F07,21,-0.089583334,3. Arabic
o101,online,4,4,4,4,4,4,4,4,5,,18,Female,,,,,,1,1,1.414213562,45,#E3B40F,#E3B40F,21,0,2. Bilingual
o102,online,3.66666667,3.75,3.33333333,2.5,4,4,2,1,4.75,,18,Male,,,,,,0.964583334,0.529166667,1.10019924,28.74900139,#91BAB5,#91BAB5,21,0.435416667,1. English
